County,State,Population,Area in square miles - Land area,Population sq mi land,Housing units sq mi
Marion,South Carolina,"30,657",489.23,67.6,30.6
Marlboro,South Carolina,"26,118",479.67,60.3,25.2
Newberry,South Carolina,"38,440",630.04,59.5,28.4
Oconee,South Carolina,"79,546",626.33,118.6,61.9
Orangeburg,South Carolina,"86,175",1106.1,83.6,38.4
Pickens,South Carolina,"126,884",496.41,240.2,103.2
Richland,South Carolina,"415,759",757.07,507.9,213.6
Saluda,South Carolina,"20,473",452.78,43.9,20.5
Spartanburg,South Carolina,"319,785",807.93,351.9,151.8
Sumter,South Carolina,"106,721",665.07,161.6,69.2
Union,South Carolina,"27,316",514.17,56.3,27.5
Williamsburg,South Carolina,"30,368",934.16,36.8,16.4
York,South Carolina,"280,979",680.59,332.2,138.4
Aurora,South Dakota,"2,751",708.42,3.8,1.9
Beadle,South Dakota,"18,453",1258.71,13.8,6.6
Bennett,South Dakota,"3,365",1184.71,2.9,1.1
Bon Homme,South Dakota,"6,901",563.7,12.5,5.2
Brookings,South Dakota,"35,077",792.21,40.3,16.6
Brown,South Dakota,"38,839",1712.98,21.3,9.8
Brule,South Dakota,"5,297",817.24,6.4,3
Buffalo,South Dakota,"1,962",471.38,4.1,1.3
Butte,South Dakota,"10,429",2249.9,4.5,2.1
Campbell,South Dakota,"1,376",733.68,2,1.3
Charles Mix,South Dakota,"9,292",1097.49,8.3,3.5
Clark,South Dakota,"3,736",957.6,3.9,1.8
Clay,South Dakota,"14,070",412.19,33.6,13.7
Codington,South Dakota,"28,009",688.5,39.5,18
Corson,South Dakota,"4,086",2469.69,1.6,0.6
Custer,South Dakota,"8,972",1557,5.3,3
Davison,South Dakota,"19,775",435.56,44.8,20.3
Day,South Dakota,"5,424",1027.87,5.6,3.5
Deuel,South Dakota,"4,351",622.69,7,3.5
Dewey,South Dakota,"5,892",2302.49,2.3,0.9
Douglas,South Dakota,"2,921",431.8,7,3.3
Edmunds,South Dakota,"3,829",1125.96,3.6,1.7
Fall River,South Dakota,"6,713",1739.92,4.1,2.4
Faulk,South Dakota,"2,299",981.75,2.4,1.2
Grant,South Dakota,"7,052",681.46,10.8,5.2
Gregory,South Dakota,"4,185",1014.96,4.2,2.5
Haakon,South Dakota,"1,899",1810.53,1.1,0.6
Hamlin,South Dakota,"6,164",507.23,11.6,5.4
Hand,South Dakota,"3,191",1436.61,2.4,1.3
Hanson,South Dakota,"3,453",434.51,7.7,2.7
Harding,South Dakota,"1,298",2671.37,0.5,0.3
Hughes,South Dakota,"17,526",741.56,23,10.3
Hutchinson,South Dakota,"7,291",812.9,9,4.1
Hyde,South Dakota,"1,301",860.52,1.7,0.8
Jackson,South Dakota,"3,344",1863.91,1.6,0.6
Jerauld,South Dakota,"2,013",526.23,3.9,2
Jones,South Dakota,903,969.68,1,0.6
Kingsbury,South Dakota,"4,939",832.24,6.2,3.3
Lake,South Dakota,"12,797",563.28,19.9,9.9
Lawrence,South Dakota,"25,844",800.04,30.1,15.9
Lincoln,South Dakota,"61,128",577.28,77.7,31
Lyman,South Dakota,"3,781",1641.94,2.3,1
McCook,South Dakota,"5,586",574.2,9.8,4.3
McPherson,South Dakota,"2,379",1136.64,2.2,1.2
Marshall,South Dakota,"4,935",838.07,5.6,3
Meade,South Dakota,"28,332",3470.98,7.3,3.2
Mellette,South Dakota,"2,061",1307.31,1.6,0.6
Miner,South Dakota,"2,216",570.31,4.2,2.3
Minnehaha,South Dakota,"193,134",807.15,210,88.7
Moody,South Dakota,"6,576",519.39,12.5,5.4
Oglala Lakota,South Dakota,"14,177",2776.55,36.4,16.2
Pennington,South Dakota,"113,775",2870.48,1,0.6
Perkins,South Dakota,"2,865",861.14,2.7,1.7
Potter,South Dakota,"2,153",1101.04,9.2,4.5
Roberts,South Dakota,"10,394",569.32,4.1,2.1
Sanborn,South Dakota,"2,344",2093.9,6.5,1.7
Spink,South Dakota,"6,376",1503.93,4.3,2.1
Stanley,South Dakota,"3,098",1444.43,2.1,1
Sully,South Dakota,"1,391",1006.82,1.4,0.8
Todd,South Dakota,"10,177",1388.56,6.9,2.3
Tripp,South Dakota,"5,441",1612.45,3.5,1.9
Turner,South Dakota,"8,384",617.06,13.5,6.4
Union,South Dakota,"15,932",460.54,31.3,13.6
Walworth,South Dakota,"5,435",708.63,7.7,4.2
Yankton,South Dakota,"22,814",521.16,43.1,18.5
Ziebach,South Dakota,"2,756",1961.27,1.4,0.5
Anderson,Tennessee,"76,978",337.16,222.8,103
Bedford,Tennessee,"49,713",473.64,95.1,38.8
Benton,Tennessee,"16,160",394.14,41.8,22.8
Bledsoe,Tennessee,"15,064",406.42,31.7,14.1
Blount,Tennessee,"133,088",558.71,220.2,98.9
Bradley,Tennessee,"108,110",328.76,301,125.9
Campbell,Tennessee,"39,842",480.19,84.8,41.6
Cannon,Tennessee,"14,678",265.64,52,22.7
Carroll,Tennessee,"27,767",599.25,47.6,22
Carter,Tennessee,"56,391",341.2,168.3,81.3
Cheatham,Tennessee,"40,667",302.44,129.3,51.8
Chester,Tennessee,"17,297",285.74,60,24.4
Claiborne,Tennessee,"31,959",434.58,74.1,34.2
Clay,Tennessee,"7,615",236.54,33.2,18.1
Cocke,Tennessee,"36,004",434.57,82.1,40.2
Coffee,Tennessee,"56,520",428.96,123.1,54.6
Crockett,Tennessee,"14,230",265.53,54.9,24.2
Cumberland,Tennessee,"60,520",681.03,82.3,41.3
Davidson,Tennessee,"694,144",504.03,1243.3,563.4
Decatur,Tennessee,"11,663",333.84,35.2,20.6
DeKalb,Tennessee,"20,490",304.35,61.5,30.9
Dickson,Tennessee,"53,948",489.9,101.4,42.5
Dyer,Tennessee,"37,159",512.33,74.8,32.6
Fayette,Tennessee,"41,133",704.79,54.5,22.2
Fentress,Tennessee,"18,523",498.61,36,18
Franklin,Tennessee,"42,208",554.54,74,33.7
Gibson,Tennessee,"49,133",602.74,82.4,36.5
Giles,Tennessee,"29,464",610.93,48.3,22.7
Grainger,Tennessee,"23,320",280.6,80.7,38.8
Greene,Tennessee,"69,069",622.16,110.6,51.5
Grundy,Tennessee,"13,427",360.53,38,17.7
Hamblen,Tennessee,"64,934",161.18,388,167.3
Hamilton,Tennessee,"367,804",542.43,620.3,278.6
Hancock,Tennessee,"6,620",222.34,30.7,16.3
Hardeman,Tennessee,"25,050",667.77,40.8,16.2
Hardin,Tennessee,"25,652",577.32,45.1,24.2
Hawkins,Tennessee,"56,786",486.98,116.7,55.2
Haywood,Tennessee,"17,304",533.11,35.2,15.6
Henderson,Tennessee,"28,117",520.07,53.4,24.6
Henry,Tennessee,"32,345",562.1,57.5,30.3
Hickman,Tennessee,"25,178",612.5,40.3,16.8
Houston,Tennessee,"8,201",200.29,42.1,20.9
Humphreys,Tennessee,"18,582",530.98,34.9,16.7
Jackson,Tennessee,"11,786",308.32,37.7,19
Jefferson,Tennessee,"54,495",274.08,187.6,85.7
Johnson,Tennessee,"17,788",298.47,61.1,30
Knox,Tennessee,"470,313",508.22,850.5,383.6
Lake,Tennessee,"7,016",165.78,47.2,15.7
Lauderdale,Tennessee,"25,633",471.99,58.9,23.8
Lawrence,Tennessee,"44,142",617.13,67.8,29.5
Lewis,Tennessee,"12,268",282.09,43.1,19.4
Lincoln,Tennessee,"34,366",570.34,58.5,26.7
Loudon,Tennessee,"54,068",229.22,211.8,94.8
McMinn,Tennessee,"53,794",430.12,121.5,54.3
McNairy,Tennessee,"25,694",562.86,46.3,21.2
Macon,Tennessee,"24,602",307.14,72.4,32.1
Madison,Tennessee,"97,984",557.12,176.4,75.2
Marion,Tennessee,"28,907",498.16,56.7,26
Marshall,Tennessee,"34,375",375.46,81.5,34.9
Maury,Tennessee,"96,387",613.14,132,57.5
Meigs,Tennessee,"12,422",195.12,60.2,28.8
Monroe,Tennessee,"46,545",635.56,70,32.7
Montgomery,Tennessee,"208,993",539.18,319.6,130
Moore,Tennessee,"6,488",129.22,49.2,22.6
Morgan,Tennessee,"21,403",522.18,42.1,17.1
Obion,Tennessee,"30,069",544.73,58.4,26.9
Overton,Tennessee,"22,241",433.48,50.9,23.7
Perry,Tennessee,"8,076",414.73,19.1,11.1
Pickett,Tennessee,"5,048",162.98,31.2,21.2
Polk,Tennessee,"16,832",434.68,38.7,18.4
Putnam,Tennessee,"80,245",401.1,180.3,79.5
Rhea,Tennessee,"33,167",315.38,100.9,45.5
Roane,Tennessee,"53,382",360.71,150.2,71.3
Robertson,Tennessee,"71,813",476.29,139.2,54.8
Rutherford,Tennessee,"332,285",619.36,424,166.2
Scott,Tennessee,"22,068",532.3,41.8,18.6
Sequatchie,Tennessee,"15,026",265.86,53.1,24
Sevier,Tennessee,"98,250",592.5,151.7,94.4
Shelby,Tennessee,"937,166",763.17,1215.5,521.9
Smith,Tennessee,"20,157",314.29,61,27.1
Stewart,Tennessee,"13,715",459.33,29,14.8
Sullivan,Tennessee,"158,348",413.36,379.4,178.4
Sumner,Tennessee,"191,283",529.45,303.4,124.6
Tipton,Tennessee,"61,599",458.37,133.3,50.6
Trousdale,Tennessee,"11,284",114.19,68.9,29.5
Unicoi,Tennessee,"17,883",186.17,98.4,47.4
Union,Tennessee,"19,972",223.55,85.5,40.1
Van Buren,Tennessee,"5,872",273.42,20.3,9.7
Warren,Tennessee,"41,277",432.68,92.1,41.2
Washington,Tennessee,"129,375",326.46,376.7,175.4
Wayne,Tennessee,"16,673",734.1,23.2,9.9
Weakley,Tennessee,"33,328",580.36,60.3,26.7
White,Tennessee,"27,345",376.67,68.6,30.6
Williamson,Tennessee,"238,412",582.6,314.4,117.6
Wilson,Tennessee,"144,657",570.83,199.7,79.8
Anderson,Texas,"57,735",1062.6,55,18.9
Andrews,Texas,"18,705",1500.71,9.9,3.9
Angelina,Texas,"86,715",797.78,108.8,44.6
Aransas,Texas,"23,510",252.07,91.9,60.9
Archer,Texas,"8,553",903.11,10,4.5
Armstrong,Texas,"1,887",909.11,2.1,1
Atascosa,Texas,"51,153",1219.54,36.8,14.5
Austin,Texas,"30,032",646.51,44,20
Bailey,Texas,"7,000",826.8,8.7,3.4
Bandera,Texas,"23,112",790.96,25.9,14.6
Bastrop,Texas,"88,723",888.15,83.5,33
Baylor,Texas,"3,509",867.48,4.3,3.1
Bee,Texas,"32,565",880.24,36.2,12.1
Bell,Texas,"362,924",1051.02,295.2,119.4
Bexar,Texas,"2,003,554",1239.82,1383.1,534.7
Blanco,Texas,"11,931",709.25,14.8,7.8
Borden,Texas,654,897.44,0.7,0.4
Bosque,Texas,"18,685",982.98,18.5,9.8
Bowie,Texas,"93,245",885.01,104.6,43.5
Brazoria,Texas,"374,264",1357.7,230.7,87.2
Brazos,Texas,"229,211",585.45,332.8,132.7
Brewster,Texas,"9,203",6183.73,1.5,0.9
Briscoe,Texas,"1,546",900,1.8,1.1
Brooks,Texas,"7,093",943.36,7.7,3.4
Brown,Texas,"37,864",944.43,40.3,19.4
Burleson,Texas,"18,443",659.03,26.1,13.4
Burnet,Texas,"48,155",994.26,43,21
Caldwell,Texas,"43,664",545.26,69.8,25.2
Calhoun,Texas,"21,290",506.84,42.2,22.5
Callahan,Texas,"13,943",899.37,15.1,7.3
Cameron,Texas,"423,163",890.92,456,159.3
Camp,Texas,"13,094",195.83,63.3,28.9
Carson,Texas,"5,926",920.22,6.7,3
Cass,Texas,"30,026",936.96,32.5,15.3
Castro,Texas,"7,530",894.43,9,3.5
Chambers,Texas,"43,837",597.14,58.8,22.3
Cherokee,Texas,"52,646",1052.91,48.3,19.8
Childress,Texas,"7,306",696.4,10.1,4.1
Clay,Texas,"10,471",1088.72,9.9,4.7
Cochran,Texas,"2,853",775.15,4,1.8
Coke,Texas,"3,387",911.47,3.6,2.9
Coleman,Texas,"8,175",1261.95,7,4.4
Collin,Texas,"1,034,730",841.22,930,357.8
Collingsworth,Texas,"2,920",918.44,3.3,1.8
Colorado,Texas,"21,493",960.27,21.7,11
Comal,Texas,"156,209",559.48,193.9,84.2
Comanche,Texas,"13,635",937.75,14.9,7.7
Concho,Texas,"2,726",983.8,4.2,1.7
Cooke,Texas,"41,257",874.76,43.9,19
Coryell,Texas,"75,951",1052.07,71.7,23.9
Cottle,Texas,"1,398",900.56,1.7,1.1
Crane,Texas,"4,797",785.07,5.6,2.1
Crockett,Texas,"3,464",2807.33,1.3,0.7
Crosby,Texas,"5,737",900.2,6.7,3.2
Culberson,Texas,"2,171",3812.8,0.6,0.3
Dallam,Texas,"7,287",1503.26,4.5,1.9
Dallas,Texas,"2,635,516",871.28,2718,1082.6
Dawson,Texas,"12,728",900.31,15.4,5.8
Deaf Smith,Texas,"18,546",1496.87,12.9,4.7
Delta,Texas,"5,331",256.83,20.4,9.6
Denton,Texas,"887,207",878.43,754.3,291.6
DeWitt,Texas,"20,160",908.98,22.1,10.1
Dickens,Texas,"2,211",901.72,2.7,1.4
Dimmit,Texas,"10,124",1328.88,7.5,3.3
Donley,Texas,"3,278",926.89,4,2.3
Duval,Texas,"11,157",1793.48,6.6,3.1
Eastland,Texas,"18,360",926.49,20.1,11.1
Ector,Texas,"166,223",897.69,152.8,59.1
Edwards,Texas,"1,932",2117.86,0.9,0.8
Ellis,Texas,"184,826",935.49,159.9,58.1
El Paso,Texas,"839,238",1012.69,790.6,266.9
Erath,Texas,"42,698",1083.07,35,15.7
Falls,Texas,"17,297",765.48,23.3,10.1
Fannin,Texas,"35,514",890.84,38.1,15.9
Fayette,Texas,"25,346",950.01,25.8,14.6
Fisher,Texas,"3,830",898.94,4.4,2.5
Floyd,Texas,"5,712",992.14,6.5,3
Foard,Texas,"1,155",704.4,1.9,1.1
Fort Bend,Texas,"811,688",861.48,679.5,228.7
Franklin,Texas,"10,725",284.39,37.3,20.3
Freestone,Texas,"19,717",877.74,22.6,10.6
Frio,Texas,"20,306",1133.5,15.2,5.2
Gaines,Texas,"21,492",1502.38,11.7,4.2
Galveston,Texas,"342,139",378.36,769.9,350.2
Garza,Texas,"6,229",893.41,7.2,2.5
Gillespie,Texas,"26,988",1058.21,23.5,12.1
Glasscock,Texas,"1,409",900.22,1.4,0.6
Goliad,Texas,"7,658",852.01,8.5,4.4
Gonzales,Texas,"20,837",1066.69,18.6,8.2
Gray,Texas,"21,886",925.97,24.3,11
Grayson,Texas,"136,212",932.8,129.6,57.6
Gregg,Texas,"123,945",273.3,445.4,181.2
Grimes,Texas,"28,880",787.46,33.8,13.9
Guadalupe,Texas,"166,847",711.3,184.9,70.3
Hale,Texas,"33,406",1004.68,36.1,13.5
Hall,Texas,"2,964",883.49,3.8,2.2
Hamilton,Texas,"8,461",835.91,10.2,5.5
Hansford,Texas,"5,399",919.81,6.1,2.5
Hardeman,Texas,"3,933",695.11,6,3.5
Hardin,Texas,"57,602",890.57,61.3,25.4
Harris,Texas,"4,713,325",1703.48,2402.4,938.5
Harrison,Texas,"66,553",899.95,72.9,30.8
Hartley,Texas,"5,576",1462.03,4.1,1.3
Haskell,Texas,"5,658",903.13,6.5,3.8
Hays,Texas,"230,191",677.98,231.7,87.6
Hemphill,Texas,"3,819",906.29,4.2,1.8
Henderson,Texas,"82,737",873.75,89.9,45.3
Hidalgo,Texas,"868,707",1570.87,493.2,158.1
Hill,Texas,"36,649",958.86,36.6,16.8
Hockley,Texas,"23,021",908.39,25.2,10.2
Hood,Texas,"61,643",420.64,121.7,59.3
Hopkins,Texas,"37,084",767.17,45.8,19.6
Houston,Texas,"22,968",1230.91,19.3,9.4
Howard,Texas,"36,664",900.79,38.9,14.6
Hudspeth,Texas,"4,886",4570.98,0.8,0.3
Hunt,Texas,"98,594",840.32,102.5,43.7
Hutchinson,Texas,"20,938",887.42,25,12
Irion,Texas,"1,536",1051.56,1.5,0.8
Jack,Texas,"8,935",910.66,9.9,4.5
Jackson,Texas,"14,760",829.43,17,7.9
Jasper,Texas,"35,529",938.85,38,17.9
Jeff Davis,Texas,"2,274",2264.56,1,0.7
Jefferson,Texas,"251,565",876.3,287.9,119.2
Jim Hogg,Texas,"5,200",1136.14,4.7,2.1
Jim Wells,Texas,"40,482",864.97,47.2,18.7
Johnson,Texas,"175,817",724.69,208.3,78.3
Jones,Texas,"20,083",928.55,21.8,8
Karnes,Texas,"15,601",747.56,19.8,7.6
Kaufman,Texas,"136,154",780.7,132.4,49.1
Kendall,Texas,"47,431",662.45,50.4,21.2
Kenedy,Texas,404,1458.33,0.3,0.2
Kent,Texas,762,902.51,0.9,0.6
Kerr,Texas,"52,600",1103.32,45,21.6
Kimble,Texas,"4,337",1250.99,3.7,2.7
King,Texas,272,910.87,0.3,0.2
Kinney,Texas,"3,667",1360.05,2.6,1.4
Kleberg,Texas,"30,680",881.31,36.4,14.5
Knox,Texas,"3,664",850.62,4.4,2.4
Lamar,Texas,"49,859",907.19,54.9,24.8
Lamb,Texas,"12,893",1016.18,13.8,6
Lampasas,Texas,"21,428",712.84,27.6,12.2
La Salle,Texas,"7,520",1486.69,4.6,1.8
Lavaca,Texas,"20,154",969.71,19.9,10.7
Lee,Texas,"17,239",629.02,26.4,11.9
Leon,Texas,"17,404",1073.15,15.7,8.9
Liberty,Texas,"88,219",1158.42,65.3,24.8
Limestone,Texas,"23,437",905.29,25.8,11.6
Lipscomb,Texas,"3,233",932.18,3.5,1.6
Live Oak,Texas,"12,207",1039.7,11.1,5.8
Llano,Texas,"21,795",934.03,20.7,15.3
Loving,Texas,169,668.93,0.1,0.1
Lubbock,Texas,"310,569",895.6,311.3,128.5
Lynn,Texas,"5,951",891.87,6.6,3
McCulloch,Texas,"7,984",1065.6,7.8,4
McLennan,Texas,"256,623",1037.1,226.5,91.7
McMullen,Texas,743,1139.43,0.6,0.4
Madison,Texas,"14,284",466.07,29.3,10.9
Marion,Texas,"9,854",380.88,27.7,16.3
Martin,Texas,"5,771",914.94,5.2,2
Mason,Texas,"4,274",928.8,4.3,2.9
Matagorda,Texas,"36,643",1100.28,33.4,17.1
Maverick,Texas,"58,722",1279.26,42.4,13.7
Medina,Texas,"51,584",1325.36,34.7,13.6
Menard,Texas,"2,138",902.03,2.5,1.9
Midland,Texas,"176,832",900.3,152,60.4
Milam,Texas,"24,823",1016.93,24.3,11.1
Mills,Texas,"4,873",748.26,6.6,3.8
Mitchell,Texas,"8,545",911.09,10.3,4.5
Montague,Texas,"19,818",930.91,21.2,10.9
Montgomery,Texas,"607,391",1041.73,437.5,170.5
Moore,Texas,"20,940",899.69,24.3,8.8
Morris,Texas,"12,388",251.98,51.3,23.9
Motley,Texas,"1,200",989.56,1.2,0.8
Nacogdoches,Texas,"65,204",946.54,68.2,29
Navarro,Texas,"50,113",1009.63,47.3,20
Newton,Texas,"13,595",933.68,15.5,7.6
Nolan,Texas,"14,714",912,16.7,7.8
Nueces,Texas,"362,294",838.48,405.8,168.2
Ochiltree,Texas,"9,836",917.63,11.1,4.4
Oldham,Texas,"2,112",1500.53,1.4,0.6
Orange,Texas,"83,396",333.67,245.3,105.8
Palo Pinto,Texas,"29,189",951.79,29.5,16
Panola,Texas,"23,194",801.75,29.7,13.6
Parker,Texas,"142,878",903.48,129.4,51.6
Parmer,Texas,"9,605",880.78,11.7,4.3
Pecos,Texas,"15,823",4763.85,3.3,1.2
Polk,Texas,"51,353",1057.09,43,21.5
Potter,Texas,"117,415",908.37,133.3,52
Presidio,Texas,"6,704",3855.24,2,1
Rains,Texas,"12,514",229.45,47.6,23
Randall,Texas,"137,713",911.54,132.4,56.6
Reagan,Texas,"3,849",1175.3,2.9,1.2
Real,Texas,"3,452",699.19,4.7,3.7
Red River,Texas,"12,023",1036.58,12.4,6.6
Reeves,Texas,"15,976",2635.37,5.2,1.8
Refugio,Texas,"6,948",770.44,9.6,4.8
Roberts,Texas,854,924.06,1,0.5
Robertson,Texas,"17,074",855.68,19.4,9.9
Rockwall,Texas,"104,915",127.04,616.7,219.9
Runnels,Texas,"10,264",1050.94,10,5
Rusk,Texas,"54,406",924.03,57.7,22.9
Sabine,Texas,"10,542",491.39,22,16.3
San Augustine,Texas,"8,237",530.66,16.7,10.1
San Jacinto,Texas,"28,859",569.24,46.3,23.2
San Patricio,Texas,"66,730",693.45,93.5,38.2
San Saba,Texas,"6,055",1135.3,5.4,2.8
Schleicher,Texas,"2,793",1310.63,2.6,1.1
Scurry,Texas,"16,703",905.44,18.7,7.7
Shackelford,Texas,"3,265",914.29,3.7,1.9
Shelby,Texas,"25,274",795.58,32,14.9
Sherman,Texas,"3,022",923.04,3.3,1.4
Smith,Texas,"232,751",921.45,227.6,94.8
Somervell,Texas,"9,128",186.46,45.5,19.7
Starr,Texas,"64,633",1223.18,49.8,16
Stephens,Texas,"9,366",896.72,10.7,5.5
Sterling,Texas,"1,291",923.45,1.2,0.7
Stonewall,Texas,"1,350",916.31,1.6,1
Sutton,Texas,"3,776",1453.93,2.8,1.4
Swisher,Texas,"7,397",890.16,8.8,3.6
Tarrant,Texas,"2,102,515",863.61,2094.7,827.7
Taylor,Texas,"138,034",915.55,143.6,60.9
Terrell,Texas,776,2358.03,0.4,0.3
Terry,Texas,"12,337",888.84,14.2,5.4
Throckmorton,Texas,"1,501",912.55,1.8,1.2
Titus,Texas,"32,750",406.05,79.6,29.7
Tom Green,Texas,"119,200",1521.97,72.4,30.6
Travis,Texas,"1,273,954",990.2,1034.4,445.6
Trinity,Texas,"14,651",693.61,21,12.6
Tyler,Texas,"21,672",924.5,23.5,11.4
Upshur,Texas,"41,753",582.95,67.4,28.5
Upton,Texas,"3,657",1241.32,2.7,1.2
Uvalde,Texas,"26,741",1551.95,17,7
Val Verde,Texas,"49,025",3144.75,15.5,5.9
Van Zandt,Texas,"56,590",842.56,62.4,27.1
Victoria,Texas,"92,084",882.14,98.4,40.1
Walker,Texas,"72,971",784.17,86.5,30.7
Waller,Texas,"55,246",513.43,84.1,30.8
Ward,Texas,"11,998",835.6,12.8,5.6
Washington,Texas,"35,882",603.95,55.8,25.7
Webb,Texas,"276,652",3361.48,74.5,21.9
Wharton,Texas,"41,556",1086.15,38,15.8
Wheeler,Texas,"5,056",914.52,5.9,3
Wichita,Texas,"132,230",627.78,209.5,88.5
Wilbarger,Texas,"12,769",970.84,13.9,6.5
Willacy,Texas,"21,358",590.55,37.5,11.9
Williamson,Texas,"590,551",1118.3,378,145.6
Wilson,Texas,"51,070",803.73,53.4,20.9
Winkler,Texas,"8,010",841.11,8.5,3.6
Wise,Texas,"69,984",904.42,65.4,26.3
Wood,Texas,"45,539",645.23,65,32.3
Yoakum,Texas,"8,713",799.71,9.9,3.7
Young,Texas,"18,010",914.47,20.3,9.4
Zapata,Texas,"14,179",998.41,14,6.2
Zavala,Texas,"11,840",1297.41,9,3.3
Beaver,Utah,"6,710",2589.88,2.6,1.1
Box Elder,Utah,"56,046",5745.55,8.7,3
Cache,Utah,"128,289",1164.81,96.7,31.8
Carbon,Utah,"20,463",1478.49,14.5,6.5
Daggett,Utah,950,696.98,1.5,1.6
Davis,Utah,"355,481",298.78,1025.8,326.6
Duchesne,Utah,"19,938",3240.94,5.7,2.9
Emery,Utah,"10,012",4462.31,2.5,1
Garfield,Utah,"5,051",5175.12,1,0.7
Grand,Utah,"9,754",3671.54,2.5,1.3
Iron,Utah,"54,839",3296.68,14,6
Juab,Utah,"12,017",3392.28,3,1
Kane,Utah,"7,886",3990.23,1.8,1.5
Millard,Utah,"13,188",6572.42,1.9,0.8
Morgan,Utah,"12,124",609.2,15.5,4.9
Piute,Utah,"1,479",757.79,2.1,1.2
Rich,Utah,"2,483",1028.77,2.2,2.8
Salt Lake,Utah,"1,160,437",742.28,1387.1,490.4
San Juan,Utah,"15,308",7819.99,1.9,0.7
Sanpete,Utah,"30,939",1590.15,17.5,6.5
Sevier,Utah,"21,620",1910.58,10.9,4.4
Summit,Utah,"42,145",1871.71,19.4,14.2
Tooele,Utah,"72,259",6941.35,8.4,2.8
Uintah,Utah,"35,734",4479.69,7.3,2.7
Utah,Utah,"636,235",2003.45,257.8,74
Wasatch,Utah,"34,091",1175.5,20,9
Washington,Utah,"177,556",2426.36,56.9,23.8
Wayne,Utah,"2,711",2460.68,1.1,0.6
Weber,Utah,"260,213",576.08,401.4,149.6
Addison,Vermont,"36,777",766.33,48,21.9
Bennington,Vermont,"35,470",674.98,55,31
Caledonia,Vermont,"29,993",648.86,48.1,24.6
Chittenden,Vermont,"163,774",536.58,291.7,122.5
Essex,Vermont,"6,163",663.6,9.5,7.6
Franklin,Vermont,"49,402",633.71,75.3,34.1
Grand Isle,Vermont,"7,235",81.81,85.2,61.7
Lamoille,Vermont,"25,362",458.8,53.3,28.3
Orange,Vermont,"28,892",687.03,42.1,21.6
Orleans,Vermont,"27,037",693.27,39.3,23.3
Rutland,Vermont,"58,191",929.82,66.3,36.3
Washington,Vermont,"58,409",687.23,86.6,43.6
Windham,Vermont,"42,222",785.31,56.7,37.9
Windsor,Vermont,"55,062",969.34,58.5,35.2
Accomack,Virginia,"32,316",449.5,73.8,46.7
Albemarle,Virginia,"109,330",720.7,137.3,58.4
Alleghany,Virginia,"14,860",445.46,36.5,18.1
Amelia,Virginia,"13,145",355.27,35.7,15.1
Amherst,Virginia,"31,605",473.93,68.3,29.5
Appomattox,Virginia,"15,911",333.49,44.9,20.8
Arlington,Virginia,"236,842",25.97,7993.5,4058
Augusta,Virginia,"75,558",967,76.3,32.3
Bath,Virginia,"4,147",529.16,8.9,6.2
Bedford,Virginia,"78,997",753.02,91.2,42.4
Bland,Virginia,"6,280",357.72,19.1,9.1
Botetourt,Virginia,"33,419",541.2,61.2,26.9
Brunswick,Virginia,"16,231",566.17,30.8,14.4
Buchanan,Virginia,"21,004",502.76,47.9,23
Buckingham,Virginia,"17,148",579.66,29.6,12.5
Campbell,Virginia,"54,885",503.87,108.8,49.2
Caroline,Virginia,"30,725",527.51,54.1,22.2
Carroll,Virginia,"29,791",474.69,63.3,34.9
Charles City,Virginia,"6,963",182.82,39.7,17.7
Charlotte,Virginia,"11,880",475.27,26.5,13.2
Chesterfield,Virginia,"352,802",423.3,747.1,289.5
Clarke,Virginia,"14,619",176.18,79.7,35.4
Craig,Virginia,"5,131",329.53,15.7,8.5
Culpeper,Virginia,"52,605",379.23,123.1,46.6
Cumberland,Virginia,"9,932",297.46,33.8,15.6
Dickenson,Virginia,"14,318",330.53,48.1,22.9
Dinwiddie,Virginia,"28,544",503.72,55.6,22.7
Essex,Virginia,"10,953",257.12,43.4,22.4
Fairfax,Virginia,"1,147,532",390.97,2766.8,1043.6
Fauquier,Virginia,"71,222",647.45,100.7,39.5
Floyd,Virginia,"15,749",380.42,40.2,20.5
Fluvanna,Virginia,"27,270",286.01,89.8,36.3
Franklin,Virginia,"56,042",690.43,81.3,42.5
Frederick,Virginia,"89,313",413.5,189.4,75.8
Giles,Virginia,"16,720",355.78,48.6,23.4
Gloucester,Virginia,"37,348",217.81,169.2,72.8
Goochland,Virginia,"23,753",281.42,77.2,30.6
Grayson,Virginia,"15,550",442.17,35.1,20.7
Greene,Virginia,"19,819",156.25,117.8,48.1
Greensville,Virginia,"11,336",295.23,41.5,13.9
Halifax,Virginia,"33,911",817.84,44.3,22
Hanover,Virginia,"107,766",468.54,213.1,81.9
Henrico,Virginia,"330,818",233.7,1313.4,568.2
Henry,Virginia,"50,557",382.33,141.6,68.7
Highland,Virginia,"2,190",415.16,5.6,4.4
Isle of Wight,Virginia,"37,109",315.61,111.8,46.4
James City,Virginia,"76,523",142.44,470.4,209.2
King and Queen,Virginia,"7,025",315.14,22,10.8
King George,Virginia,"26,836",179.64,131.3,52.8
King William,Virginia,"17,148",273.94,58.2,23.8
Lancaster,Virginia,"10,603",133.25,85.5,55.5
Lee,Virginia,"23,423",435.52,58.8,27
Loudoun,Virginia,"413,538",515.56,605.8,212.3
Louisa,Virginia,"37,591",496.3,66.8,32.9
